date_observacional,rents
2011-06-04,3065
2011-06-05,1031
2011-06-06,784
2011-06-07,754
2011-06-08,692
2011-06-09,1988
2011-06-10,1743
2011-06-11,723
2011-06-12,662
2011-06-13,748
2011-06-14,888
2011-06-15,1318
2011-06-16,2418
2011-06-17,2006
2011-06-18,841
2011-06-19,752
2011-06-20,644
2011-06-21,632
2011-06-22,562
2011-06-23,987
2011-06-24,1050
2011-06-25,568
2011-06-26,750
2011-06-27,755
2011-06-28,606
2011-06-29,670
2011-06-30,1559
2011-07-01,1524
2011-07-02,729
2011-07-03,801
2011-07-04,467
2011-07-05,799
2011-07-06,1023
2011-07-07,1521
2011-07-08,1298
2011-07-09,846
2011-07-10,907
2011-07-11,884
2011-07-12,812
2011-07-13,1051
2011-07-14,1504
2011-07-15,1338
2011-07-16,775
2011-07-17,721
2011-07-18,668
2011-07-19,639
2011-07-20,797
2011-07-21,1914
2011-07-22,1249
2011-07-23,833
2011-07-24,1281
2011-07-25,949
2011-07-26,435
2011-07-27,768
2011-07-28,226
2011-07-29,1415
2011-07-30,729
2011-07-31,775
2011-08-01,688
2011-08-02,783
2011-08-03,875
2011-08-04,1935
2011-08-05,2521
2011-08-06,1236
2011-08-07,204
2011-08-08,118
2011-08-09,153
2011-08-10,417
2011-08-11,1750
2011-08-12,1633
2011-08-13,690
2011-08-14,701
2011-08-15,647
2011-08-16,428
2011-08-17,742
2011-08-18,1434
2011-08-19,1353
2011-08-20,691
2011-08-21,438
2011-08-22,539
2011-08-23,555
2011-08-24,258
2011-08-25,1776
2011-08-26,1544
2011-08-27,684
2011-08-28,477
2011-08-29,480
2011-08-30,653
2011-08-31,830
2011-09-01,480
2011-09-02,616
2011-09-03,330
2011-09-04,486
2011-09-05,559
2011-09-06,639
2011-09-07,949
2011-09-08,2235
2011-09-09,2397
2011-09-10,1514
2011-09-11,667
2011-09-12,217
2011-09-13,290
2011-09-14,529
2011-09-15,1899
2011-09-16,1748
2011-09-17,713
2011-09-18,637
2011-09-19,254
2011-09-20,471
2011-09-21,676
2011-09-22,1499
2011-09-23,1619
2011-09-24,699
2011-09-25,695
2011-09-26,404
2011-09-27,240
2011-09-28,456
2011-09-29,57
2011-09-30,885
2011-10-01,362
2011-10-02,410
2011-10-03,370
2011-10-04,318
2011-10-05,470
2011-10-06,1156
2011-10-07,952
2011-10-08,373
2011-10-09,376
2011-10-10,305
2011-10-11,190
2011-10-12,440
2011-10-13,1275
2011-10-14,1004
2011-10-15,595
2011-10-16,449
2011-10-17,145
2011-10-18,139
2011-10-19,245
2011-10-20,943
2011-10-21,787
2011-10-22,220
2011-10-23,69
2011-10-24,112
2011-10-25,560
2011-10-26,1095
2011-10-27,1249
2011-10-28,810
2011-10-29,253
2011-10-30,96
2011-10-31,188
2011-11-01,182
2011-11-02,268
2011-11-03,706
2011-11-04,634
2011-11-05,233
2011-11-06,126
2011-11-07,50
2011-11-08,150
2011-11-09,261
2011-11-10,502
2011-11-11,377
2011-11-12,143
2011-11-13,155
2011-11-14,178
2011-11-15,181
2011-11-16,178
2011-11-17,275
2011-11-18,220
2011-11-19,260
2011-11-20,216
2011-11-21,107
2011-11-22,227
2011-11-23,163
2011-11-24,155
2011-11-25,303
2011-11-26,430
2011-11-27,103
2011-11-28,255
2011-11-29,254
2011-11-30,491
2011-12-01,665
2011-12-02,686
2011-12-03,244
2011-12-04,89
2011-12-05,95
2011-12-06,140
2011-12-07,307
2011-12-08,1070
2011-12-09,599
2011-12-10,106
2011-12-11,173
2011-12-12,92
2011-12-13,269
2011-12-14,174
2011-12-15,333
2011-12-16,284
2011-12-17,217
2011-12-18,127
2011-12-19,109
2011-12-20,130
2011-12-21,115
2011-12-22,67
2011-12-23,196
2011-12-24,145
2011-12-25,439
2011-12-26,467
2011-12-27,244
2011-12-28,269
2011-12-29,775
2011-12-30,558
2011-12-31,126
2012-01-01,324
2012-01-02,304
2012-01-03,190
2012-01-04,310
2012-01-05,384
2012-01-06,318
2012-01-07,206
2012-01-08,199
2012-01-09,109
2012-01-10,163
2012-01-11,227
2012-01-12,192
2012-01-13,73
2012-01-14,94
2012-01-15,135
2012-01-16,141
2012-01-17,74
2012-01-18,349
2012-01-19,1435
2012-01-20,618
2012-01-21,502
2012-01-22,163
2012-01-23,394
2012-01-24,516
2012-01-25,246
2012-01-26,317
2012-01-27,515
2012-01-28,253
2012-01-29,229
2012-01-30,65
2012-01-31,325
2012-02-01,246
2012-02-02,956
2012-02-03,710
2012-02-04,203
2012-02-05,221
2012-02-06,432
2012-02-07,486
2012-02-08,447
2012-02-09,968
2012-02-10,1658
2012-02-11,838
2012-02-12,762
2012-02-13,997
2012-02-14,1005
2012-02-15,548
2012-02-16,3155
2012-02-17,2207
2012-02-18,982
2012-02-19,1051
2012-02-20,1122
2012-02-21,1334
2012-02-22,2469
2012-02-23,1033
2012-02-24,1532
2012-02-25,795
2012-02-26,531
2012-02-27,674
2012-02-28,834
2012-02-29,796
2012-03-01,2301
2012-03-02,2347
2012-03-03,1208
2012-03-04,1348
2012-03-05,1058
2012-03-06,1192
2012-03-07,1807
2012-03-08,3252
2012-03-09,2230
2012-03-10,905
2012-03-11,819
2012-03-12,482
2012-03-13,663
2012-03-14,1252
2012-03-15,2795
2012-03-16,2846
2012-03-17,1198
2012-03-18,989
2012-03-19,347
2012-03-20,846
2012-03-21,1340
2012-03-22,2541
2012-03-23,120
2012-03-24,195
2012-03-25,518
2012-03-26,655
2012-03-27,475
2012-03-28,1014
2012-03-29,1120
2012-03-30,2229
2012-03-31,665
2012-04-01,653
2012-04-02,667
2012-04-03,764
2012-04-04,1069
2012-04-05,2496
2012-04-06,2135
2012-04-07,1008
2012-04-08,738
2012-04-09,620
2012-04-10,1026
2012-04-11,1319
2012-04-12,2622
2012-04-13,2172
2012-04-14,342
2012-04-15,625
2012-04-16,991
2012-04-17,1242
2012-04-18,1521
2012-04-19,3410
2012-04-20,2704
2012-04-21,630
2012-04-22,819
2012-04-23,766
2012-04-24,1059
2012-04-25,1417
2012-04-26,2855
2012-04-27,3283
2012-04-28,2557
2012-04-29,880
2012-04-30,745
2012-05-01,1100
2012-05-02,533
2012-05-03,2795
2012-05-04,2494
2012-05-05,1071
2012-05-06,968
2012-05-07,1027
2012-05-08,1038
2012-05-09,1488
2012-05-10,2708
2012-05-11,2224
2012-05-12,1017
2012-05-13,477
2012-05-14,1173
2012-05-15,1180
2012-05-16,1563
2012-05-17,2963
2012-05-18,2634
2012-05-19,653
2012-05-20,968
2012-05-21,872
2012-05-22,778
2012-05-23,964
2012-05-24,2657
2012-05-25,2551
2012-05-26,1139
2012-05-27,1077
2012-05-28,1077
2012-05-29,921
2012-05-30,829
2012-05-31,1455
2012-06-01,1421
2012-06-02,904
2012-06-03,1052
2012-06-04,2562
2012-06-05,1405
2012-06-06,1366
2012-06-07,1448
2012-06-08,1203
2012-06-09,998
2012-06-10,954
2012-06-11,975
2012-06-12,1032
2012-06-13,1511
2012-06-14,2355
2012-06-15,1920
2012-06-16,1088
2012-06-17,921
2012-06-18,799
2012-06-19,888
2012-06-20,747
2012-06-21,1264
2012-06-22,2544
2012-06-23,1135
2012-06-24,1140
2012-06-25,1383
2012-06-26,1036
2012-06-27,1259
2012-06-28,2234
2012-06-29,2153
2012-06-30,1040
2012-07-01,968
2012-07-02,1074
2012-07-03,983
2012-07-04,1328
2012-07-05,2345
2012-07-06,1707
2012-07-07,1233
2012-07-08,1278
2012-07-09,1263
2012-07-10,1196
2012-07-11,1065
2012-07-12,2247
2012-07-13,2182
2012-07-14,1207
2012-07-15,1128
2012-07-16,1198
2012-07-17,1338
2012-07-18,1483
2012-07-19,2827
2012-07-20,1208
2012-07-21,1026
2012-07-22,1081
2012-07-23,1094
2012-07-24,1363
2012-07-25,1325
2012-07-26,1829
2012-07-27,1483
2012-07-28,989
2012-07-29,935
2012-07-30,1177
2012-07-31,1172
2012-08-01,1433
2012-08-02,2352
2012-08-03,2613
2012-08-04,1965
2012-08-05,867
2012-08-06,832
2012-08-07,611
2012-08-08,1045
2012-08-09,1557
2012-08-10,2570
2012-08-11,1118
2012-08-12,1070
2012-08-13,1050
2012-08-14,1054
2012-08-15,1379
2012-08-16,3160
2012-08-17,2166
2012-08-18,1022
2012-08-19,371
2012-08-20,788
2012-08-21,939
2012-08-22,1250
2012-08-23,2512
2012-08-24,2454
2012-08-25,1001
2012-08-26,845
2012-08-27,787
2012-08-28,751
2012-08-29,1045
2012-08-30,2589
2012-08-31,2015
2012-09-01,763
2012-09-02,315
2012-09-03,728
2012-09-04,891
2012-09-05,1516
2012-09-06,3031
2012-09-07,781
2012-09-08,874
2012-09-09,601
2012-09-10,780
2012-09-11,834
2012-09-12,1060
2012-09-13,2252
2012-09-14,2080
2012-09-15,760
2012-09-16,922
2012-09-17,979
2012-09-18,1008
2012-09-19,753
2012-09-20,2806
2012-09-21,2132
2012-09-22,830
2012-09-23,841
2012-09-24,795
2012-09-25,875
2012-09-26,1182
2012-09-27,2643
2012-09-28,998
2012-09-29,2
2012-09-30,87
2012-10-01,419
2012-10-02,466
2012-10-03,618
2012-10-04,1029
2012-10-05,1201
2012-10-06,378
2012-10-07,466
2012-10-08,326
2012-10-09,340
2012-10-10,709
2012-10-11,2090
2012-10-12,2290
2012-10-13,1097
2012-10-14,327
2012-10-15,373
2012-10-16,320
2012-10-17,484
2012-10-18,1313
2012-10-19,922
2012-10-20,449
2012-10-21,534
2012-10-22,615
2012-10-23,955
2012-10-24,1603
2012-10-25,532
2012-10-26,309
2012-10-27,337
2012-10-28,123
2012-10-29,198
2012-10-30,243
2012-10-31,362
